No,Titulo,Autor,Editorial,Idioma,ISBN13
104,Bajo el viento de la Camarga,"Cesco, Federico de ",Alfaguara,es,9788420436357
105,Niños y hombres,"Roth, Philip ",G.P.,es,
106,Aux frontières du réel - 2 - Tornade,"Grant, Charles L. ",Éd. Jai lu,fr,9782277242390
107,La pampa argentina,"Sefve, Ivar ",Seix Barral,es,
108,El guerrero del desierto,"Singh, Nalini ",Harlequín Ibérica,es,9788467114133
109,El Mito masculino,"Pietropinto, Anthony; Simenauer, Jacqueline",Plaza & Janés,es,9788401480553
110,Hostal Lolita,"Nonell, Carmen",Hijos de F. Armengot,es,
111,Claudia. Los años dorados de Hollywood,"Loos, Mary",Martínez Roca,es,9788427002975
112,El Kapo,"Gaussen, Dominique",A.T.E.,es,9788474423297
113,Remando al viento,"Suárez, Gonzalo",Plot,es,9788486702038
114,Relatos,Varios,Paradores,es,9788481983906
115,El arreglo,"Kazan, Elia ",Bruguera,es,
116,Iglus en la noche,"Ruesch, Hans ",Círculo de Lectores,es,9788422606307
117,La Mujer Total,"Morgan, Marabel ",Plaza & Janés,es,9788401805325
118,Tiempos de Claroscuro,"Raybourn, Deanna ",Harlequin Ibérica,es,9788468709499
119,Rob Roy,"Scott, Walter ",RBA,es,9788447309344
120,Tempestad sobre el Vaticano,"Speratti, Alberto ",A.T.E.,es,
121,Círculo del Crimen (6 relatos),Varios,Forum,es,9788485604159
122,Luz (des)hilvanada,"Crespo Alcalá, Patricia ",Bubok Publishing,es,9788468655901
123,El amor es más poderoso que la muerte,"Konsalik, Heinz G.",Martínez Roca,es,9788427007543
124,Proceso a la historia,"Barrios, Manuel ",Plaza & Janés,es,9788401390135
125,La ciudad vagabunda,"Zilahy, Lajos",G.P.,es,9788401431609
126,¿Quiere usted saber frances en diez dias?,"Robertson, Métodos ",Ramón Sopena,es,9788430302574
127,Doble imagen,"MacInnes, Helen ",Círculo de Lectores,es,
128,Adios Janette,"Robbins, Harold ",Bruguera,es,9788402079961
129,Lawrence de Arabia,"Aldington, Richard ",Planeta,es,9788432027130
130,la tarde,"Lacruz, Mario ",Plaza & Janés,es,
131,El rito,"García Blázquez, José Antonio",Destino,es,9788423308354
132,Jaque a la dama,"Fernandez Santos, Jesus ",Planeta,es,9788432055522
133,A ritmo de marcha fúnebre,"Barclay, Alexis ",Antalbe,es,
134,El valle de las muñecas,"Susann, Jacqueline ",Grijalbo,es,
135,Los gozos y las sombras. III. La Pascua triste,"Torrente Ballester, Gonzalo ",Alianza Editorial,es,9788420690209
136,¡Arriba Israel!,"Núñez Alonso, Alejandro",Planeta,es,9788432054853
137,Les chansons de Bilitis,"Louÿs, Pierre",Albin Michel,fr,
138,Grandes autores en libros pequeños,Varios,Planeta,es,
139,La nuit de l'apocalypse,"Easterman, Daniel ",Pocket,fr,9782266076234
140,Memoires mortes,"Cornwell, Patricia ",Le Livre de Poche,fr,9782253076353
141,Ben-Hur,"Wallace, Lewis ",Plaza & Janés,es,9788401410598
142,En el día de hoy,"Torbado, Jesus ",Planeta,es,9788432053580
143,El Lago,"Doctorow, E. L. ",Argos-Vergara,es,9788471782908
144,Mecanoscrit del segon origen,"Pedrolo, Manuel de ",Edicions 62,ca,9788429710328
145,Y Dios en la ultima playa,"Zaragoza, Cristóbal ",Planeta,es,
146,Memorias,"Mindszenty, Cardenal ",Caralt,es,9788421757086
147,India mon amour,"Lapierre, Dominique ",Planeta,es,9788408004066 
148,Actividades para un joven biologo,"Schwartz, George I. ; Schwartz, Bernice S. ",Adara,es,9788438500033
149,El comando de los desertores,"Paris, Alain ",Javier Vergara,es,9789501500059
150,Tu colección de monedas,"Hobson, Burton",Altea,es,9788437212135
151,La conspiración del golfo,"Schwartz, Fernando ",Planeta,es,9788432055539
152,"Yo, el hermano","Guerra, Juan ","Temas de Hoy, ediciones",es,9788478800544
153,Una de tarzan,"Marqués, Vicent ",Alfaní,es,9788493504359
154,Baywatch,"Schwartz, Deborah ",Addison Wesley Longman,en,9780582401150
155,Zona marítima,"Xirinachs, Olga ",Planeta,es,9788432071935
156,Exploración del espacio (Volumen 1),"Jastrow, Robert",Orbis,es,9788476341131
157,Novelas ejemplares,"Cervantes Saavedra, Miguel de ",J. Perez del Hoyo,es,9788471940940
158,…que la punta dun paraigua,"Mínguez, Xavier ",J.J.2,ca,9788486970352
159,La gran depresión de 1990,"Batra, Ravi ",Grijalbo,es,9788425319815
160,Los hijos del sol,"Lavolle, L. N.",Adara,es,9788438500040
161,Volavérunt,"Larreta, Antonio ",Planeta,es,9788432055355
162,Insomnie. Tome 1,"King, Stephen ",J'ai Lu,fr,9782290046159
163,Insomnie. Tome 2,"King, Stephen ",J'ai Lu,fr,9782290046166
164,"Cruz, Espada y Sangre","Mossé, Claude ",Juan Graniva,es,9789506410018
165,El libro del marisco,"Sueiro, Jorge-Víctor",Altaya,es,9788448710057
166,El miedo a la igualdad,"Miguel, Amando de ",Grijalbo,es,9788425305924
167,Su luminoso esplendor,"Sherwood, Valerie ",Javier Vergara,es, 
168,Flores azules,"Queneau, Raymond ",Alcor,es,9788427015258
169,"Han matado a un hombre, han roto un paisaje","Candel, Francisco ",Círculo de Lectores,es,
170,Herejias economicas,"Robinson, Joan ",Ariel,es,9788434419919
171,El pulso silencioso,"Leonard, George ",EDAF,es,9788471666406
172,A cinco minutos del final,"Herrero Sales, Maximo",Letrame,es,9788417657444
173,En la vida de Ignacio Morel,"Sender, Ramón J.",Planeta,es,
174,La sonrisa etrusca,"Sampedro, José Luis ",RBA,es,9788447301225
175,Mis universidades,"Gorki, Maximo",ZERO,es,9788431703578
176,Las calles de nuestros padres,"González Ledesma, Francisco ",Plaza & Janés,es,9788401304064
177,Educazione siberiana,"Lilin, Nicolai",Einaudi,it,9788806202569
178,El mundo de Juan Lobon,"Berenguer, Luis ",Mondadori,es,9788439712947
179,No preguntes lo que tu país puede hacer por ti,"Kennedy, John F.",Centro editorial PDA,es,
180,Les murs de sang,"Camut, Jèrôme; Hug, Nathalie",Calmann-Lévy,fr,9782298957966
181,La Route du sel et autres poèmes,"Bodart, Roger ",E.I.A. La Difference,fr,9782729108519
182,La otra,"Fielding, Joy ",Mundo Actual,es,9788474543162
183,Actividades para jovenes botanicos,"Prime, C. T.",Adara,es,9788438500187
184,Un tal rock wagram,"Saroyan, William",Plaza & Janés,es,
185,Pasiones humanas,"Yerby, Frank ",Planeta,es,
186,Historia de la vida del Buscón llamado don Pablos,"Quevedo, Francisco de ","Rueda J.M.S.A., ediciones",es,9788487507700
187,"Tan lejos, tan cerca","Marsillach, Adolfo ",Tusquets,es,9788483100783
188,Geografia universal,"Rebagliato Font, Juan",Gasso hnos.,es,
189,Escenas montañesas,"Pereda, Jose María de",Círculo de Amigos de la Historia,es,9788422503705
190,"Yo, el rey","Vallejo-Nágera, Juan Antonio",Planeta,es,9788432055812
191,Guarnicion de silla,"Grosso, Alfonso",Emiliano Escolar,es,9788473931007
192,El general de las galaxias,"Mazarin, Jean",GEASA,es,9788485483068
193,Gran Café,"Lorenzo, Pedro de",Planeta,es,9788432053221
194,Un verano en el viñedo,"Delinsky, Barbara",Random House Mondadori,es,9788497594844
195,Con ellos cabalgo la muerte,"Taut, Franz",Plaza & Janés,es,
196,Le soleil des Scorta,"Gaudé, Laurent",J'ai Lu,fr,9782290078129
197,Les Ombres errantes,"Quignard, Pascal",Gallimard,fr,9782070427796
198,Rouge Brésil,"Rufin, Jean-Christophe",Gallimard,fr,9782070301676
199,The destroyers,"Reeman, Douglas",Berkley,en,9780515074468
200,Fenella Phizackerley,"Forster, Margaret",Ballantine books,en, 
