No,Titulo,Autor
220,El estiércol,"Kuprin, Alejandro"
221,El mono blanco,"Galsworthy, John"
222,Avere o essere?,"Fromm, Erich"
223,Peregrinos y viajeros,"Ekert-Rotholz, Alice"
224,Cómo mantenerse en forma,Simon Jennings & Co.
225,Pelham uno dos tres,"Godey, John"
226,"Europa, pecado y virtud","Altavilla, Enrico"
227,El frances y los 7 pecados capitales,"Díaz-Plaja, Fernando"
228,Ojos verdes,"Robards, Karen"
229,Mémoire d'un croyant,Abbé Pierre
230,La sangrienta luna,"Magro, Baltasar"
231,Los santos inocentes,"Delibes, Miguel"
232,Las ratas,"Delibes, Miguel"
233,Le nom de la bete,"Easterman, Daniel"
234,Confesiones de un espermatozoide,"Maronna, Jorge; Samper, Daniel"
235,Que se mueran los feos,"Iglesia, Juanjo de la"
236,La justicia se equivocó,"Torre, Manuel de la"
237,El ultimo lacayo,"Grimes, Martha"
238,Martín Fierro,"Hernández, José"
239,Diario de un cura rural,"Bernanos, Georges"
240,El caso reace,"Rey, José"
241,El buque fantasma,"Marryat, Frederick"
242,La Celestina,"Rojas, Fernando de"
243,Nadie debería morir,"Slaughter, Frank G."
244,The iron Man,"Hughes, Ted"
245,De la sierra Tarasca,"Amezcua Barrera, Mario"
246,L'últim roder,"Franco, Josep"
247,Climas,"Maurois, Andre"
248,Florecillas de San Francisco,Anónimo
249,Las últimas banderas,"Lera, Angel Mª de"
250,Roble claro,"Yerby, Frank"
251,Alfanhui,"Sanchez Ferlosio, Rafael"
252,Miguel Angel,"Koch, Heinrich"
253,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de"
254,La guerra de los botones,"Pergaud, Louis"
255,La vida secreta de Ana,"Arazo, Mª Angeles"
256,Torremolinos Gran Hotel,"Palomino, Angel"
257,A tientas y a ciegas,"Portal, Marta"
258,Luces de Hollywood,"McCoy, Horace"
259,Antología de artículos,"Larra, Mariano José de"
260,Reinar después de morir; El esclavo del demonio; El segundo Séneca de España,"Velez de Guevara, Antonio; Mira de Amescua, Antonio; Pérez de Montalbán, Juan"
261,El padrino,"Puzo, Mario"
262,Luna de primavera,"Lord, Bette Bao"
263,El embajador,"West, Morris"
264,Los ojos de Heisenberg,"Herbert, Frank"
265,Recuerdos del futuro,"Däniken, Erich von"
266,Spotlight on William Shakespeare,"Barnaby, David"
